model,capacity,C,N,repeat,logloss,precision,recall,f1,hidden
logreg,C=0.3,0.3,200,1,0.45826561219939804,0.9778994719342852,1.0,0.9888262632255512,
logreg,C=0.3,0.3,200,2,0.46071664739380086,0.9823182711198428,1.0,0.9910802775024777,
logreg,C=0.3,0.3,400,0,0.3584631206862221,0.9585889570552147,1.0,0.9788566953797964,
logreg,C=0.3,0.3,400,1,0.35947494192057294,0.9587727708533078,1.0,0.9789525208027411,
logreg,C=0.3,0.3,400,2,0.359349596168034,0.9611687812379854,1.0,0.9801999607920016,
logreg,C=0.3,0.3,800,0,0.2618827424436357,0.9643201542912246,1.0,0.9818360333824251,
logreg,C=0.3,0.3,800,1,0.2640098915691155,0.9611687812379854,1.0,0.9801999607920016,
logreg,C=0.3,0.3,800,2,0.2603348714279114,0.9650646593321752,1.0,0.9822217856792064,
logreg,C=1.0,1.0,50,0,0.5015583400595669,0.8641548565502938,1.0,0.9271277582050806,
logreg,C=1.0,1.0,50,1,0.5023278137691704,0.9867431737237832,0.9974,0.9920429679729461,
logreg,C=1.0,1.0,50,2,0.49616081738812756,0.9805539186800236,0.9984,0.9893964919234962,
logreg,C=1.0,1.0,100,0,0.40708828633310956,0.9335324869305451,1.0,0.9656237929702588,
logreg,C=1.0,1.0,100,1,0.405986338563858,0.970873786407767,1.0,0.9852216748768473,
logreg,C=1.0,1.0,100,2,0.4050424088001615,0.9485866059571239,1.0,0.9736150326161036,
logreg,C=1.0,1.0,200,0,0.30393196642119535,0.9716284492809949,1.0,0.9856100926473487,
logreg,C=1.0,1.0,200,1,0.3057426509170777,0.9765625,1.0,0.9881422924901185,
logreg,C=1.0,1.0,200,2,0.29812740463112275,0.969743987587277,1.0,0.9846396218983852,
logreg,C=1.0,1.0,400,0,0.21022800133005567,0.975609756097561,1.0,0.9876543209876543,
logreg,C=1.0,1.0,400,1,0.20810510292432396,0.9714396735962697,1.0,0.9855129594954174,
logreg,C=1.0,1.0,400,2,0.20941681833639728,0.9620935154897056,1.0,0.9806805923310777,
logreg,C=1.0,1.0,800,0,0.14385497075815884,0.9674922600619195,1.0,0.983477576711251,
logreg,C=1.0,1.0,800,1,0.14288584924675343,0.969743987587277,1.0,0.9846396218983852,
logreg,C=1.0,1.0,800,2,0.14399677568117009,0.9619084263178146,1.0,0.9805844283192783,
logreg,C=3.0,3.0,50,0,0.3961694853341112,0.8206138191367143,1.0,0.9014693951140359,
logreg,C=3.0,3.0,50,1,0.41327264813860837,0.7579202667879339,1.0,0.8622919720617401,
logreg,C=3.0,3.0,50,2,0.39410287643158015,0.9719953325554259,0.9996,0.9856044172746993,
logreg,C=3.0,3.0,100,0,0.26691962367781286,0.9604302727621975,1.0,0.9798157946306094,
logreg,C=3.0,3.0,100,1,0.26766054708251724,0.9580379383023567,1.0,0.9785693316371465,
logreg,C=3.0,3.0,100,2,0.28569436985047786,0.9778951486697965,0.9998,0.9887262658227848,
logreg,C=3.0,3.0,200,0,0.18301588879924374,0.9682416731216111,1.0,0.9838646202282566,
